OrderID,CustomerName,Email,Gender,Country,SignupDate,ProductCategory,Quantity,Price,OrderDate,Status
ORD1062,Linda Gonzalez,linda.gonzalez@example.com,Male,Canada,2021-10-21,Clothing,8,44.22,2022-07-29,Delivered
ORD1242,David Martinez,david.martinez@example.com,Female,Canada,2021-03-17,Books,7,478.02,2021-11-24,Returned
ORD1288,William Martinez,william.martinez@example.com,Male,Unknown,2021-01-24,Books,4,29.64,2021-04-11,Pending
ORD1311,Linda Brown,linda.brown@example.com,Female,Australia,2021-03-05,Books,4,265.5,2021-09-24,Returned
ORD1170,Barbara Miller,barbara.miller@example.com,Male,Germany,2021-07-05,Toys,8,337.48,2022-04-29,Pending
ORD1480,Thomas Jones,thomas.jones@example.com,Female,United Kingdom,2023-02-04,Toys,6,418.87,2023-03-22,Delivered
ORD1011,Robert Garcia,robert.garcia@example.com,Male,Germany,2021-02-10,Toys,10,106.11,2021-09-01,Pending
ORD1303,Richard Wilson,richard.wilson@example.com,Female,United Kingdom,2023-02-07,Clothing,3,54.95,2023-07-13,Cancelled
ORD1195,Linda Rodriguez,linda.rodriguez@example.com,Female,United States,2021-04-24,Home & Kitchen,10,228.02,2021-06-16,Pending
ORD1304,James Lopez,james.lopez@example.com,Male,Germany,2021-12-12,Clothing,2,496.86,2023-11-01,Cancelled
ORD1181,Patricia Davis,patricia.davis@example.com,Male,Australia,2022-09-21,Sports,1,238.48,2023-02-03,Pending
ORD1017,Charles Miller,charles.miller@example.com,Male,Germany,2023-01-30,Electronics,6,66.69,2024-01-07,Pending
ORD1451,Robert Rodriguez,robert.rodriguez@example.com,Male,Canada,2021-05-11,Clothing,10,329.03,2021-12-23,Delivered
ORD1088,Sarah Gonzalez,sarah.gonzalez@example.com,Male,Canada,2022-07-12,Clothing,4,98.3,2022-07-29,Delivered
ORD1015,Jennifer Wilson,jennifer.wilson@example.com,Female,United Kingdom,2022-12-20,Electronics,8,232.85,2023-04-16,Delivered
ORD1241,James Williams,james.williams@example.com,Male,Canada,2021-01-25,Toys,4,355.5,2021-04-02,Cancelled
ORD1028,Jessica Lopez,jessica.lopez@example.com,Female,Canada,2021-05-04,Sports,9,99.81,2022-02-03,Delivered
ORD1113,William Smith,william.smith@example.com,Male,Canada,2022-02-12,Clothing,8,172.19,2022-10-19,Delivered
ORD1331,Barbara Lopez,barbara.lopez@example.com,Female,United Kingdom,2022-01-23,Books,4,295.73,2022-10-04,Cancelled
ORD1038,Susan Jones,susan.jones@example.com,Female,Australia,2021-12-03,Sports,8,38.87,2022-03-30,Returned
ORD1082,Robert Davis,robert.davis@example.com,Male,United Kingdom,2022-02-11,Sports,5,286.14,2022-07-07,Returned
ORD1186,Michael Davis,michael.davis@example.com,Male,Unknown,2023-05-28,Home & Kitchen,10,441.09,2023-08-30,Returned
ORD1133,Karen Davis,karen.davis@example.com,Female,United States,2021-11-24,Electronics,6,128.52,2022-01-19,Delivered
ORD1231,Jessica Gonzalez,jessica.gonzalez@example.com,Female,Canada,2021-06-27,Sports,10,300.06,2022-02-10,Pending
ORD1458,John Garcia,john.garcia@example.com,Male,Germany,2022-10-27,Books,3,472.66,2023-04-20,Returned
ORD1402,Robert Davis,robert.davis@example.com,Male,Germany,2021-07-04,Books,7,162.06,2022-06-29,Delivered
ORD1104,Sarah Williams,sarah.williams@example.com,Female,United States,2022-11-25,Home & Kitchen,7,114.89,2023-11-13,Returned
ORD1058,Richard Martinez,richard.martinez@example.com,Male,United Kingdom,2022-11-03,Sports,2,396.87,2023-11-17,Returned
ORD1319,Michael Martinez,michael.martinez@example.com,Male,United States,2021-10-14,Toys,6,319.41,2022-03-03,Pending
ORD1252,Patricia Davis,patricia.davis@example.com,Female,Germany,2022-03-23,Toys,8,231.58,2022-08-09,Pending
ORD1130,Richard Lopez,richard.lopez@example.com,Male,Canada,2022-08-29,Home & Kitchen,10,98.18,2023-09-05,Cancelled
ORD1176,Jennifer Lopez,jennifer.lopez@example.com,Male,United States,2022-05-06,Sports,7,288.88,2022-05-27,Delivered
ORD1450,Charles Gonzalez,charles.gonzalez@example.com,Female,Germany,2022-06-08,Clothing,8,235.89,2023-05-18,Returned
ORD1255,Linda Williams,unknown@unknown.com,Female,Canada,2021-04-03,Home & Kitchen,3,374.91,2022-05-04,Returned
ORD1428,Linda Wilson,linda.wilson@example.com,Male,Canada,2022-04-06,Sports,6,211.56,2022-04-28,Delivered
ORD1198,Michael Brown,michael.brown@example.com,Male,Germany,2021-09-06,Toys,8,386.54,2022-08-24,Delivered
ORD1122,William Rodriguez,william.rodriguez@example.com,Male,United States,2022-06-13,Electronics,8,158.8,2022-12-19,Pending
ORD1112,Susan Johnson,susan.johnson@example.com,Male,Canada,2022-11-24,Toys,5,42.38,2023-06-19,Pending
ORD1363,Jennifer Thomas,jennifer.thomas@example.com,Male,Canada,2021-12-23,Toys,5,352.05,2022-06-07,Pending
ORD1400,William Garcia,william.garcia@example.com,Female,United States,2023-03-02,Books,5,462.46,2023-11-07,Pending
ORD1103,Elizabeth Williams,elizabeth.williams@example.com,Female,Canada,2021-06-07,Electronics,8,203.4,2022-05-28,Delivered
ORD1212,Jessica Gonzalez,unknown@unknown.com,Female,United Kingdom,2022-03-10,Electronics,9,174.18,2023-10-12,Cancelled
