OrderID,CustomerName,Email,Gender,Country,SignupDate,ProductCategory,Quantity,Price,OrderDate,Status
ORD1062,Linda Gonzalez,linda.gonzalez@example.com,M,Canada,"October 21, 2021",Clothing,8 units,$44.22,"July 29, 2022",delivered
ORD1242,David Martinez,david.martinez@example.com,F,canada,17-03-2021,Books,7 units,$478.02,11/24/2021,Returned
ORD1288,William Martinez,william.martinez@example.com,MALE,,01/24/2021,Books,4,29.64,2021-04-11,Pending
ORD1311,Linda Brown,linda.brown@example.com,FEMALE,australia,"March 05, 2021",Books,4,265.5,24-09-2021,returned
ORD1170,Barbara Miller,barbara.miller@example.com,male,germany,2021-07-05,Toys,8 units,$337.48,"April 29, 2022",pending
ORD1480,Thomas Jones,thomas.jones@example.com,Female,uk,2023-02-04,Toys,6,$418.87,2023-03-22,Delivered
ORD1011,Robert Garcia,robert.garcia@example.com,MALE,Germany,2021-02-10,Toys,10,106.11,09/01/2021,pending
ORD1303,  Richard Wilson  ,richard.wilson@example.com,FEMALE,UK,2023-02-07,Clothing,3,54.95,07/13/2023,Canceled
ORD1195,Linda Rodriguez,linda.rodriguez@example.com,FEMALE,USA,"April 24, 2021",Home & Kitchen,10,,16-06-2021,Pending
ORD1304,James Lopez,james.lopez@example.com,male,Germany,"December 12, 2021",Clothing,2,496.86,11-01-2023,Canceled
ORD1181,Patricia Davis,patricia.davis@example.com,Male,australia,2022-09-21,Sports,1,238.48,02/03/2023,Pending
ORD1017,Charles Miller,charles.miller@example.com, Male,DE,01/30/2023,Electronics,6,66.69,"January 07, 2024",pending
ORD1451,Robert Rodriguez,robert.rodriguez@example.com,MALE,canada,05/11/2021,Clothing,10,$329.03,23-12-2021,DELIVERED
ORD1088,Sarah Gonzalez,sarah.gonzalez@example.com,Male,canada,"July 12, 2022",Clothing,4,98.3,"July 29, 2022",Delivered
ORD1015,Jennifer Wilson,JENNIFER.WILSON@EXAMPLE.COM,FEMALE,U.K.,2022-12-20,Electronics,8,232.85,04/16/2023,DELIVERED
ORD1241,James Williams,JAMES.WILLIAMS@EXAMPLE.COM,MALE,canada,2021-01-25,Toys,4,$355.5,"April 02, 2021",Cancelled
ORD1028,Jessica Lopez,jessica.lopez@example.com,F,canada,05/04/2021,Sports,9,99.81,02-03-2022,Delivered
ORD1113,William Smith,william.smith@example.com,MALE,Canada,02/12/2022,Clothing,8,172.19,19-10-2022,Delivered
ORD1331,Barbara Lopez,barbara.lopez@example.com,Female,UK,23-01-2022,Books,4,295.73,10-04-2022,Cancelled
ORD1038,Susan Jones,susan.jones@example.com,F,AUS,"December 03, 2021",Sports,8 units,38.87,2022-03-30,Returned
ORD1082,Robert Davis,robert.davis@example.com,male,United Kingdom,"February 11, 2022",Sports,5 units,$286.14,"July 07, 2022",Returned
ORD1186,Michael Davis,michael.davis@example.com,Male,,2023-05-28,Home & Kitchen,10,441.09,30-08-2023,Returned
ORD1133,Karen Davis,karen.davis@example.com,female,USA,11/24/2021,Electronics,6,$128.52,2022-01-19,delivered
ORD1231,  Jessica Gonzalez  ,jessica.gonzalez@example.com,FEMALE,CANADA,2021-06-27,Sports,10,300.06,02/10/2022,pending
ORD1458,John Garcia,john.garcia@example.com,male,DE,"October 27, 2022",Books,3,$472.66,2023-04-20,returned
ORD1402,Robert Davis,robert.davis@example.com,M,germany,2021-07-04,Books,7,162.06,"June 29, 2022",delivered
ORD1104,Sarah Williams,sarah.williams@example.com,female,US,"November 25, 2022",Home & Kitchen,7 units,114.89,11/13/2023,returned
ORD1058,  Richard Martinez  ,richard.martinez@example.com,M,U.K.,"November 03, 2022",Sports,2,396.87,2023-11-17,returned
ORD1319,Michael Martinez,MICHAEL.MARTINEZ@EXAMPLE.COM,M,USA,"October 14, 2021",Toys,6,319.41,03/03/2022,pending
ORD1252,  Patricia Davis  ,patricia.davis@example.com,female,germany,03/23/2022,Toys,8,$231.58,08/09/2022,Pending
ORD1130,  Richard Lopez  ,richard.lopez@example.com,male,CANADA,2022-08-29,Home & Kitchen,10,98.18,09-05-2023,cancelled
ORD1176,Jennifer Lopez,jennifer.lopez@example.com,MALE,usa,05/06/2022,Sports,7 units,$288.88,05/27/2022,Delivered
ORD1450,Charles Gonzalez,CHARLES.GONZALEZ@EXAMPLE.COM,F,Germany,06-08-2022,Clothing,8,235.89,05/18/2023,Returned
ORD1255,Linda Williams,,female,Canada,2021-04-03,Home & Kitchen,3,$374.91,05/04/2022,Returned
ORD1428,Linda Wilson,linda.wilson@example.com,MALE,CANADA,04/06/2022,Sports,6,211.56,28-04-2022,delivered
ORD1198,Michael Brown,michael.brown@example.com,male,Germany,2021-09-06,Toys,8,$386.54,24-08-2022,Delivered
ORD1122,William Rodriguez,william.rodriguez@example.com, Male,USA,2022-06-13,Electronics,8,$158.8,12/19/2022,PENDING
ORD1112,Susan Johnson,susan.johnson@example.com,male,Canada,"November 24, 2022",Toys,5,42.38,19-06-2023,pending
ORD1363,Jennifer Thomas,jennifer.thomas@example.com,Male,canada,"December 23, 2021",Toys,5,352.05,2022-06-07,pending
ORD1400,William Garcia,william.garcia@example.com, Female ,United States,"March 02, 2023",Books,5,462.46,2023-11-07,pending
ORD1103,Elizabeth Williams,elizabeth.williams@example.com,FEMALE,Canada,"June 07, 2021",Electronics,8,203.4,"May 28, 2022",delivered
ORD1212,Jessica Gonzalez,,F,U.K.,03-10-2022,Electronics,9,174.18,"October 12, 2023",cancelled
ORD1455,Patricia Davis,patricia.davis@example.com,F,DE,"January 06, 2022",Books,7,493.44,08/03/2022,pending
ORD1127,Barbara Williams,barbara.williams@example.com,Male,uk,05-04-2021,Books,1,,"March 21, 2022",cancelled
ORD1323,James Rodriguez,james.rodriguez@example.com,MALE,U.S.A,21-02-2022,Toys,8,,"September 25, 2022",Pending
ORD1396,Jennifer Williams,jennifer.williams@example.com,FEMALE,United Kingdom,"October 25, 2022",Electronics,2,$424.07,2023-07-30,Delivered
ORD1469,Linda Wilson,linda.wilson@example.com,,AUS,2022-01-17,Toys,1,188.06,07/07/2022,Delivered
ORD1131,Mary Davis,,Female,Germany,12/15/2021,Home & Kitchen,1,459.03,2022-06-20,PENDING
ORD1395,Mary Johnson,mary.johnson@example.com,Male,AUS,11-04-2022,Toys,5,82.62,06/15/2022,Returned
ORD1442,Jennifer Martinez,jennifer.martinez@example.com,FEMALE,DE,"August 20, 2022",Home & Kitchen,1,104.25,03-12-2022,Delivered
ORD1145,David Hernandez,david.hernandez@example.com,female,United Kingdom,"April 02, 2023",Sports,3,$498.75,2023-10-18,cancelled
ORD1160,John Brown,john.brown@example.com, Female ,AUS,02/20/2023,Home & Kitchen,5,209.31,24-07-2023,Cancelled
ORD1486,John Lopez,john.lopez@example.com,male,U.K.,07/09/2021,Books,2,,29-09-2021,delivered
ORD1147,William Lopez,william.lopez@example.com,MALE,DE,"March 14, 2021",Toys,2,$152.69,05/24/2021,pending
ORD1202,Robert Smith,robert.smith@example.com,Female,U.S.A,02-03-2022,Electronics,10 units,39.84,2022-11-23,DELIVERED
